fid,place,wikipedia,wikidata,name,present,dimensions,interpreted
"147",village,,Q24416899,Ponzano Magra,,,
"148",village,it:Porto Venere,Q188315,Porto Venere,,,
"149",village,,,Pignone,,,
"150",village,it:Luni,Q270220,Ortonovo,,,
"151",village,,,Vezzano Inferiore,,,
"152",village,,,Vernazza,,,
"162",village,it:Grizzana Morandi,Q94898,Grizzana Morandi,,,
"163",village,it:Monteveglio,Q94970,Monteveglio,true,"3",
"164",village,it:Castello di Serravalle (Valsamoggia),Q94785,Castello di Serravalle,true,"1",
"165",village,,,Sala,,,
"166",village,it:Bazzano (Valsamoggia),Q94548,Bazzano,true,"1",
"167",village,it:Argelato,Q52218,Argelato,,,
"168",village,it:Camugnano,Q94631,Camugnano,,,
"169",village,it:Castel di Casio,Q94745,Castel di Casio,true,"2",false
"170",village,it:Crespellano,Q94795,Crespellano,,,
"171",village,it:Fontanelice,Q94861,Fontanelice,,,
"172",village,it:Lizzano in Belvedere,Q94929,Lizzano in Belvedere,,,
"173",village,it:Monzuno,Q94972,Monzuno,true,"1",
"174",village,it:San Benedetto Val di Sambro,Q94987,San Benedetto Val di Sambro,true,"1",
"175",village,it:Marzabotto,Q94936,Marzabotto,,,
"176",village,it:Minerbio,Q94948,Minerbio,,,
"177",village,,Q30022609,Baricella,,,
"178",village,it:Bentivoglio (Italia),Q94565,Bentivoglio,,,
"179",village,it:Casalfiumanese,Q94644,Casalfiumanese,,,
"180",village,it:Borgo Tossignano,Q94588,Borgo Tossignano,,,
"181",village,it:Castel d'Aiano,Q94684,Castel d'Aiano,true,"1",
"182",village,it:Gaggio Montano,Q94876,Gaggio Montano,,,
"183",village,it:Monghidoro,Q94962,Monghidoro,,,
"184",village,it:Mordano,Q94973,Mordano,,,
"185",village,it:San Giorgio di Piano,Q94988,San Giorgio di Piano,,,
"186",village,it:Porretta Terme,Q94983,Porretta Terme,,,
"187",village,it:Savigno,Q94999,Savigno,,,
"188",village,it:Vergato,Q83559,Vergato,true,"2",false
"199",village,,,Modigliana,,,
"203",village,it:Prignano sulla Secchia,Q100088,Prignano sulla Secchia,,,
"204",village,it:Lama Mocogno,Q100058,Lama Mocogno,,,
"207",village,it:Montese,Q100072,Montese,true,"3",false
"208",village,it:Polinago,Q100087,Polinago,,,
"209",village,it:Pievepelago,Q100086,Pievepelago,,,
"210",village,it:Riolunato,Q100091,Riolunato,,,
"211",village,it:Fanano,Q100049,Fanano,true,"3",
"212",village,,,Fiumalbo,,,
"213",village,it:Guiglia,Q100057,Guiglia,true,"2",
"214",village,it:Frassinoro,Q100056,Frassinoro,,,
"215",village,it:Montecreto,Q100069,Montecreto,,,
"216",village,it:Castelvetro di Modena,Q100045,Castelvetro di Modena,,,
"217",village,it:Marano sul Panaro,Q100061,Marano sul Panaro,true,"1",
"218",village,it:Sestola,Q100107,Sestola,,,
"219",village,it:Zocca,Q100113,Zocca,true,"1",
"220",village,,,Bardi,,,
"221",village,,,Mormorola,,,
"222",village,,Q100761,Berceto,,,
"223",village,,,Bedonia,,,
"224",village,it:Palagano,Q100083,Palagano,,,
"225",village,it:Montefiorino,Q100070,Montefiorino,,,
"226",village,it:Serramazzoni,Q100105,Serramazzoni,,,
"227",village,it:Savignano sul Panaro,Q100104,Savignano sul Panaro,,,
"228",village,it:San Cesario sul Panaro,Q100092,San Cesario sul Panaro,,,
"229",village,,,Solignano,,,
"230",village,,,Tizzano Val Parma,,,
"231",village,,,Terenzo,,,
"232",village,it:Lesignano de' Bagni,Q100833,Lesignano de' Bagni,,,
"233",village,,,Monchio delle Corti,,,
"234",village,it:Neviano degli Arduini,Q100850,Neviano degli Arduini,,,
"235",village,,,Palanzano,,,
"236",village,it:Calestano,Q100775,Calestano,,,
"237",village,,,Compiano,,,
"238",village,,,Varsi,,,
"239",village,,,Albareto,,,
"240",village,,,Tòrnolo,,,
"241",village,,,Cotignola,,,
"242",village,it:Casola Valsenio,Q52966,Casola Valsenio,,,
"243",village,,,Riolo Terme,,,
"244",village,it:Busana,Q111117,Busana,,,
"245",village,,,Conselice,,,
"246",village,it:Fusignano,Q52982,Fusignano,,,
"247",village,,,Bagnara di Romagna,,,
"248",village,,,Sant'Agata sul Santerno,,,
"250",village,,,Carpineti,,,
"251",village,,,Casina,,,
"252",village,it:Ligonchio,Q111207,Ligonchio,,,
"253",village,,,Quattro Castella,,,
"254",village,,,San Polo d'Enza,,,
"255",village,,,Toano,,,
"256",village,,,Vetto,,,
"257",village,,,Viano,,,
"258",village,,,Albinea,,,
"259",village,,,Baiso,,,
"266",village,,,Vezzano sul Crostolo,,,
"267",village,,,Villa Minozzo,,,
"369",village,it:Santa Lucia (Pontedera),Q3949060,Santa Lucia,,,
"370",village,,,Calcinaia,true,"1",
"371",village,it:Zambra (Cascina),Q20009570,Zambra,,,
"372",village,it:Montemagno (Calci),Q6905133,Montemagno,,,
"373",village,it:Agnano (San Giuliano Terme),Q18490015,Agnano,,,
"374",village,it:Fornacette,Q3748404,Fornacette,,,
"375",village,it:Navacchio,Q3873391,Navacchio,,,
"376",village,it:Visignano (Cascina),Q20009564,Visignano,,,
"377",village,it:San Lorenzo alle Corti,Q19060532,San Lorenzo alle Corti,,,
"378",village,it:Pardossi,Q20740245,Pardossi,,,
"379",village,it:Vicarello (Collesalvetti),Q2090626,Vicarello,,,
"380",village,it:Ripoli (Cascina),Q19060541,Ripoli,,,
"381",village,it:Musigliano,Q1954976,Musigliano,,,
"382",village,it:Campo (San Giuliano Terme),Q18490076,Campo,,,
"383",village,it:Caprona,Q3657912,Caprona,,,
"384",village,it:San Frediano a Settimo,Q3947144,San Frediano a Settimo,,,
"385",village,it:San Giovanni alla Vena,Q18785556,San Giovanni alla Vena,,,
"386",village,it:Cascine di Buti,Q3661613,Cascine di Buti,,,
"387",village,it:Latignano,Q18490284,Latignano,,,
"388",village,it:Uliveto Terme,Q547157,Uliveto Terme,,,
"389",village,it:Lugnano (Vicopisano),Q18785486,Lugnano,,,
"390",village,it:Ripafratta,Q783757,Ripafratta,,,
"391",village,it:Rigoli (San Giuliano Terme),Q20009332,Rigoli,,,
"392",village,,Q98051835,San Pietro a Vico,,,
"393",village,it:La Sterza,Q20009217,La Sterza,,,
"394",village,it:Le Piastre,Q3828404,Le Piastre,,,
"395",village,,,Cireglio,,,
"396",village,it:Pontepetri,Q3908209,Pontepetri,,,
"397",village,it:Campo Tizzoro,Q3654633,Campo Tizzoro,,,
"398",village,,Q18488450,Boveglio,,,
"399",village,it:Vico Pancellorum,Q18489188,Vico Pancellorum,,,
"401",village,,Q27908758,Volte Basse,,,
"403",village,it:Coltano,Q3683759,Coltano,,,
"404",village,,,Cinquanta,,,
"405",village,it:Funo,Q3754496,Funo di Argelato,,,
"406",village,it:Tendola,Q18489896,Tendola,,,
"407",village,it:Ceserano,Q18489446,Ceserano,,,
