fid,place,wikipedia,wikidata,name,present,dimensions,interpreted
"2604",hamlet,it:Vico (Bagnone),Q18489974,Vico,,,
"2605",hamlet,,,Pian di Rose,,,
"2606",hamlet,,,Pianacce,,,
"2607",hamlet,,,Furlo,,,
"2608",hamlet,,,Villanuova,,,
"2609",hamlet,,,Santa Maria in Pietrafitta,,,
"2610",hamlet,,,Voltiggiano,,,
"2611",hamlet,it:Camporeggiano,Q2564546,Camporeggiano,,,
"2612",hamlet,,Q18492306,Canalecce,,,
"2613",hamlet,,Q18492449,Case Santa Maria Maddalena,,,
"2614",hamlet,,,Case Sant'Erasmo,,,
"2615",hamlet,,Q18492778,Fontanelle,,,
"2616",hamlet,,Q18492780,Fonte Cese,,,
"2617",hamlet,,Q18493395,Pian d'Assino,,,
"2618",hamlet,,,Santa Maria Di Sette,,,
"2619",hamlet,,Q18493768,San Cristoforo Basso,,,
"2620",hamlet,,Q18494072,Spaccio Monteluiano,,,
"2621",hamlet,,,Stazione di Camporeggiano,,,
"2622",hamlet,,,Badia a Passignano,true,"1",
"2623",hamlet,,Q103016,Calcinaia,,,
"2624",hamlet,,,Calzaiolo,,,
"2625",hamlet,,,Fabbrica,,,
"2626",hamlet,it:Falciani,Q3738562,Falciani,,,
"2627",hamlet,,,Fornacelle,,,
"2628",hamlet,,,Greti,,,
"2629",hamlet,,,Noce,,,
"2630",hamlet,,,La Romita,,,
"2631",hamlet,it:Passo dei Pecorai,Q3897352,Passo dei Pecorai,,,
"2632",hamlet,,,San Fabiano,,,
"2633",hamlet,,,Valigondoli,,,
"2634",hamlet,,,Termine,,,
"2635",hamlet,,,Toiano,,,
"2636",hamlet,,,Valliano,,,
"2637",hamlet,it:Barbiano (Cotignola),Q2520296,Barbiano,,,
"2638",hamlet,it:Bagnile,Q2571887,Bagnile,,,
"2639",hamlet,,,Colombarina,,,
"2640",hamlet,,,Il Botteghino,,,
"2641",hamlet,,Q18446114,Mensa,,,
"2642",hamlet,,Q18446142,Palazzone,,,
"2643",hamlet,,,Sant'Andrea in Bagnolo,,,
"2644",hamlet,,,Caselle,,,
"2645",hamlet,,,Castiglia,,,
"2646",hamlet,,Q18438266,Cavaliera,,,
"2647",hamlet,,,Eremo di Tizzano,true,"1",
"2648",hamlet,,,La Ghiacciaia,,,
"2649",hamlet,,,Martiri di Pizzocalvo,,,
"2650",hamlet,,,Molino Bolsenda,,,
"2651",hamlet,,Q18438489,Montalbano,,,
"2652",hamlet,,Q18438529,Paderno,true,"1",
"2653",hamlet,,,Pizzocalvo,,,
"2654",hamlet,,,Palazzo Rossi,,,
"2655",hamlet,,,Artigianale Quattro,,,
"2656",hamlet,,,Pieve Salutare,,,
"2657",hamlet,,,Sadurano,,,
"2658",hamlet,,,Aie,,,
"2659",hamlet,,,Bracciano,,,
"2660",hamlet,,,Case della Chiesa,,,
"2661",hamlet,,,Case Franchini,,,
"2662",hamlet,,,Case Gabanini,,,
"2663",hamlet,,,Case Lago,,,
"2664",hamlet,,,Case Scuola Vecchia,,,
"2665",hamlet,,,Celletta,,,
"2666",hamlet,,,Cesuola-Rio dell'Eremo,,,
"2667",hamlet,,,Dorgagnano,,,
"2668",hamlet,,,I Casetti,,,
"2669",hamlet,,,Madonna dell'Ulivo,,,
"2670",hamlet,,,Mesola,,,
"2671",hamlet,,,Monte Grande,,,
"2672",hamlet,,,Paderno,,,
"2673",hamlet,,,Rio Marano,,,
"2674",hamlet,,,Redichiaro,,,
"2675",hamlet,,,San Tomaso,,,
"2676",hamlet,,,San Cristoforo,,,
"2677",hamlet,,,Settecrociari,,,
"2678",hamlet,,,Groppo,,,
"2679",hamlet,it:Volastra,Q742065,Volastra,,,
"2680",hamlet,it:Campiglia Tramonti,Q1031099,Campiglia,,,
"2681",hamlet,,,Lagastrello,,,
"2682",hamlet,,,Battifollo,,,
"2683",hamlet,,,Senato,,,
"2684",hamlet,it:Montebello (Orciano di Pesaro),Q18498597,Montebello,,,
"2685",hamlet,,,Vergineto,,,
"2686",hamlet,,,San Bartolo,,,
"2687",hamlet,,,Rupoli,,,
"2688",hamlet,it:Artimino,Q3624429,Artimino,,,
"2689",hamlet,,,Camaioni,,,
"2690",hamlet,,,Capannuccia,,,
"2691",hamlet,,,Case Buffini,,,
"2692",hamlet,,,Case Papucci,,,
"2693",hamlet,,,Casone,,,
"2694",hamlet,,,Confini,,,
"2695",hamlet,,,Crocicchio dell'Oro,,,
"2696",hamlet,,,Fornello,,,
"2697",hamlet,,,I Bassi,,,
"2698",hamlet,,,La Beccheria,,,
"2699",hamlet,,,La Fornace,,,
"2700",hamlet,,,La Madonnina,,,
"2701",hamlet,it:La Lisca,Q18487001,La Lisca,,,
"2702",hamlet,,,Lecore,,,
"2703",hamlet,,,La Nave di Camaioni,,,
"2704",hamlet,,,Le Torri,,,
"2705",hamlet,it:Le Miccine,Q2086981,Le Miccine,,,
"2706",hamlet,,,Maccione,,,
"2707",hamlet,it:Limite (Campi Bisenzio),Q3832500,Limite,,,
"2708",hamlet,it:Petraia,Q3901031,Petraia,,,
"2709",hamlet,it:Poggio alla Malva,Q3907048,Poggio alla Malva,,,
"2710",hamlet,,,Ponte all'Asse,,,
"2711",hamlet,,,Ponte a Giogoli,,,
"2712",hamlet,,,Ponte di Macinaia,,,
"2713",hamlet,,,Ponte A Tigliano,,,
"2714",hamlet,,,Prataccio,,,
"2715",hamlet,,,Ponte Torto,,,
"2716",hamlet,,,Pontignale,,,
"2717",hamlet,,,San Rocco,,,
"2718",hamlet,,,Sant'Ilario,,,
"2719",hamlet,it:Stagno (Lastra a Signa),Q18487444,Stagno,,,
"2720",hamlet,it:Santa Cristina in Pilli,Q3948965,Santa Cristina in Pilli,,,
"2721",hamlet,it:Sant'Angelo a Lecore,Q3948720,Sant'Angelo a Lecore,,,
"2722",hamlet,,,Valico,,,
"2723",hamlet,,,Villa,,,
"2724",hamlet,,,Stazione,,,
"2725",hamlet,,,Villa Flori,,,
"2726",hamlet,,,Bobolino,,,
"2727",hamlet,,,Bricoli,,,
"2728",hamlet,,,Bruceto,,,
"2729",hamlet,,,Castra,,,
"2730",hamlet,,,Inno,,,
"2731",hamlet,,,La Lombarda,,,
"2732",hamlet,,,La Luna,,,
"2733",hamlet,,,La Palazzina,,,
"2734",hamlet,,,La Porta,,,
"2735",hamlet,,,Maremmana,,,
"2736",hamlet,it:Marliano,Q3849693,Marliano,,,
"2737",hamlet,,,Pian de' Cerri,,,
"2738",hamlet,,,Mosciano,,,
"2739",hamlet,,,Ponterotto,,,
"2740",hamlet,,,Poggio dei Colli,,,
"2741",hamlet,,,Sammontana,,,
"2742",hamlet,,,Quattro Strade,,,
"2743",hamlet,,,San Martino alla Palma,,,
"2744",hamlet,,,San Martino a Carcheri,,,
"2745",hamlet,,,Santa Maria a Marciola,,,
"2746",hamlet,,Q18491415,Verghereto,,,
"2747",hamlet,,,Turbone,,,
"2748",hamlet,,,Vigliano,,,
"2749",hamlet,,,Buto,,,
"2750",hamlet,,,Santa Lucia,,,
"2751",hamlet,,,Madonna del Piano,,,
"2752",hamlet,,,Montesecco,,,
"2753",hamlet,,,Percozzone,,,
"2754",hamlet,,Q18495625,Cantarino,,,
"2755",hamlet,,,Bellisio Solfare,,,
"2756",hamlet,,,Bellisio Alto,,,
"2757",hamlet,,,Camartoni,,,
"2758",hamlet,,Q18495767,Doglio,,,
"2759",hamlet,,Q18496195,Sementana,,,
"2760",hamlet,,,Grattacoppa,,,
"2761",hamlet,,Q18446305,Torri,,,
"2762",hamlet,,,Aiaccia,,,
"2763",hamlet,,,Borgo di Dudda,,,
"2764",hamlet,,,Brollo,,,
"2765",hamlet,,,Case di Dudda,,,
"2766",hamlet,,,Casole,,,
"2767",hamlet,,,Castellinuzza,,,
"2768",hamlet,,,Castello di Cintoia,,,
"2769",hamlet,it:Cintoia,Q1952302,Cintoia,,,
"2770",hamlet,,,Dimezzano,,,
"2771",hamlet,,,Dudda,,,
"2772",hamlet,,,Gagliana,,,
"2773",hamlet,,,Gaville,,,
"2774",hamlet,,,Giobbole,,,
"2775",hamlet,,,I Cappuccini,,,
"2776",hamlet,,,La Fornace,,,
"2777",hamlet,,,Lagaccioni,,,
"2778",hamlet,,,La Pieve,,,
"2779",hamlet,,,La Panca,,,
"2780",hamlet,,,La Poggerina,,,
"2781",hamlet,,Q18485635,Meleto,,,
"2782",hamlet,,,Madonna del Cesto,,,
"2783",hamlet,,,Pescina,,,
"2784",hamlet,it:Poggio alla Croce,Q3907047,Poggio alla Croce,,,
"2785",hamlet,,,Pian delle Macchie,,,
"2786",hamlet,,,Ponte Agli Stolli,,,
"2787",hamlet,,,Poggiolino,,,
"2788",hamlet,,,Ruffoli,,,
"2789",hamlet,,,Prulli di Sotto,,,
"2790",hamlet,,,Torsoli,,,
"2791",hamlet,,,Spedaluzzo,,,
"2792",hamlet,it:Bibbiano (Colle di Val d'Elsa),Q2914527,Bibbiano,,,
"2793",hamlet,it:Borgatello,Q1817841,Borgatello,,,
"2794",hamlet,it:Boscona,Q3642899,Boscona,,,
"2795",hamlet,,,Capannino della Suvera,,,
"2796",hamlet,,,Castiglioni,,,
"2797",hamlet,,Q18491567,Cavallano,,,
"2798",hamlet,,Q18486973,Il Castagno,,,
"2799",hamlet,,,Il Cipresso,,,
"2800",hamlet,,,Il Merlo,,,
"2801",hamlet,,,La Corsina,,,
"2802",hamlet,it:Lano (Colle di Val d'Elsa),Q2528875,Lano,,,
"2803",hamlet,,,Mazzolla,,,
"2804",hamlet,,Q18491747,Lucciana,,,
"2805",hamlet,it:Mensanello,Q2051238,Mensanello,,,
"2806",hamlet,,,Montauto,,,
"2807",hamlet,,Q18491768,Molino d'Elsa,,,
"2808",hamlet,,,Montecchio,,,
"2809",hamlet,,Q18490372,Montebradoni,,,
"2810",hamlet,it:Montegabbro,Q1976202,Montegabbro,,,
"2811",hamlet,,,Montefalconi,,,
"2812",hamlet,it:Montegemoli,Q18490378,Montegemoli,,,
"2813",hamlet,,Q18491785,Montemorli,,,
"2814",hamlet,it:Onci,Q1823880,Onci,,,
"2815",hamlet,,,Monteoliveto,,,
"2816",hamlet,,,Prato d'Era,,,
"2817",hamlet,,Q18491848,Piandicampi,,,
"2818",hamlet,,,San Cipriano,,,
"2819",hamlet,it:Roncolla,Q18490492,Roncolla,,,
"2820",hamlet,it:Sant'Andrea (Colle di Val d'Elsa),Q3948702,Sant'Andrea,,,
"2821",hamlet,,,Torri,,,
"2822",hamlet,,,San Donato,,,
"2823",hamlet,it:Santa Lucia (San Gimignano),Q18491944,Santa Lucia,,,
"2824",hamlet,it:Villamagna (Volterra),Q18490609,Villamagna,,,
"2825",hamlet,,Q18492074,Volponi,,,
"2826",hamlet,,,Covignano,,,
"2827",hamlet,,,Croce al Balatro,,,
"2828",hamlet,,,Balatro Rosso,,,
"2829",hamlet,it:Bombone,Q3641989,Bombone,,,
"2830",hamlet,,,Bottega Nuova,,,
"2831",hamlet,,,Callai,,,
"2832",hamlet,,,Candeli,,,
"2833",hamlet,,,Carbonile,,,
"2834",hamlet,,,Casa Nuova,,,
"2835",hamlet,,,Casa Vecchia,,,
"2836",hamlet,,Q18486825,Citerno,,,
"2837",hamlet,,,Ellera,,,
"2838",hamlet,,,Gualchiere di Remole,,,
"2839",hamlet,,,Il Bigallo,,,
"2840",hamlet,,,L'Apparita-Monte Pilli,,,
"2841",hamlet,,,I Renai,,,
"2842",hamlet,,,La Torre,,,
"2843",hamlet,,,Lappeggi,,,
"2844",hamlet,,,Le Corti,,,
"2845",hamlet,,,Le Case,,,
"2846",hamlet,,Q18487093,Maiano,,,
"2847",hamlet,,,Massolina,,,
"2848",hamlet,,,Molino Laura,,,
"2849",hamlet,,,Montecucco,,,
"2850",hamlet,,,Montebeni,,,
"2851",hamlet,,,Ontignano,,,
"2852",hamlet,,,Osteria Nuova,,,
"2853",hamlet,,,Montefiesole,,,
"2854",hamlet,,,Nipozzano,,,
"2855",hamlet,,,Podere la Nave-La Torre,,,
"2856",hamlet,,,Poggio Gherardo,,,
"2857",hamlet,,,Paterno,,,
"2858",hamlet,,,Pievecchia,,,
"2859",hamlet,,,Rimaggio,,,
"2860",hamlet,,,Riscaggio,,,
"2861",hamlet,,,Quattro Vie,,,
"2862",hamlet,,,Rimaggino,,,
"2863",hamlet,,,San Donato a Torri,,,
"2864",hamlet,it:San Donato in Collina,Q3947019,San Donato in Collina,true,"1",
"2865",hamlet,it:Rosano (Rignano sull'Arno),Q18487317,Rosano,,,
"2866",hamlet,it:San Clemente (Reggello),Q3946895,San Clemente,,,
"2867",hamlet,,,San Piero,,,
"2868",hamlet,,,San Martino a Quona,,,
"2869",hamlet,,,Santa Teresa,,,
"2870",hamlet,,,Santa Monica,,,
"2871",hamlet,,,Santa Maria,,,
"2872",hamlet,,,Santa Chiara,,,
"2873",hamlet,,,Stentatoio,,,
"2874",hamlet,,,Sarnese,,,
"2875",hamlet,it:Sant'Ellero (frazione),Q3948823,Sant'Ellero,,,
"2876",hamlet,it:Troghi,Q3999605,Troghi,,,
"2877",hamlet,,,Torri,,,
"2878",hamlet,,,Torre Giulia,,,
"2879",hamlet,,,Taiano,,,
"2880",hamlet,it:Volognano,Q4016267,Volognano,,,
"2881",hamlet,it:Vallina (Bagno a Ripoli),Q18487529,Vallina,,,
"2882",hamlet,,,Vicchio di Rimaggio,,,
"2883",hamlet,it:Villamagna (Bagno a Ripoli),Q18487549,Villamagna,,,
"2884",hamlet,,,Vincigliata,,,
"2885",hamlet,,Q18495835,Imbrecciata,,,
"2886",hamlet,,Q18495698,Castelrosino,,,
"2887",hamlet,,,Torre di Jesi,,,
"2888",hamlet,,,Borgo Minonna,,,
"2889",hamlet,,,Caprile,,,
"2890",hamlet,,,Monterolo,,,
"2891",hamlet,,,Cartoceto,,,
"2892",hamlet,,,Montalfoglio,,,
"2893",hamlet,,,Arliano,,,
"2894",hamlet,,,Asilo Poggiolo,,,
"2895",hamlet,,,Battiloro,,,
"2896",hamlet,,,Le Canicce,,,
"2897",hamlet,,,Caselle,,,
"2898",hamlet,,,Casole,,,
"2899",hamlet,,,Castellina di Sotto,,,
"2900",hamlet,,,Cistio,,,
"2901",hamlet,,,Faltona,,,
"2902",hamlet,,,Gricignano,,,
"2903",hamlet,,,La Ginestra,,,
"2904",hamlet,,,La Gracchia,,,
"2905",hamlet,,,Larciano,,,
"2906",hamlet,,,La Torre,,,
"2907",hamlet,,,Le Balze,,,
"2908",hamlet,,,Lo Spinoso,,,
"2909",hamlet,,,Mattagnano,,,
"2910",hamlet,,,Madonna della Febbre,,,
"2911",hamlet,,,Montepùlico,,,
"2912",hamlet,,,Mirandola,,,
"2913",hamlet,,,Ochi,,,
"2914",hamlet,it:Mulinaccio,Q2081649,Mulinaccio,,,
"2915",hamlet,,,Pesciola,,,
"2916",hamlet,,,Olmi,,,
"2917",hamlet,,,Pilarciano,,,
"2918",hamlet,,,Piazzano,,,
"2919",hamlet,it:Polcanto,Q2695716,Polcanto,,,
"2920",hamlet,it:Salaiole,Q2103296,Poggiolo-Salaiole,,,
"2921",hamlet,,,Rabatta,,,
"2922",hamlet,,,Ponte a Vicchio,false,,
"2923",hamlet,,,Rupecanina,,,
"2924",hamlet,,,Ricavo,,,
"2925",hamlet,,,Santo Stefano,,,
"2926",hamlet,,,Senni,,,
"2927",hamlet,it:Sagginale,Q3944820,Sagginale,,,
"2928",hamlet,,,San Giovanni Maggiore,,,
"2929",hamlet,,,Viterete,,,
"2930",hamlet,,,Aiaccia,,,
"2931",hamlet,,Q18490033,Azienda Agricola Tirrenia,,,
"2932",hamlet,,Q18488002,Campo al Melo,,,
"2933",hamlet,,,Pian di Rota,,,
"2934",hamlet,,Q18488140,Le Murelle,,,
"2935",hamlet,,,Poggio ai Grilli,,,
"2936",hamlet,,Q18488326,Tanna Bassa,,,
"2937",hamlet,,,La Casa,,,
"2938",hamlet,,,Pietreto,,,
"2939",hamlet,it:Valle Benedetta,Q2182581,Valle Benedetta,,,
"2940",hamlet,,Q18496191,Scorcelletti,,,
"2941",hamlet,it:Badia a Montemuro,Q3632783,Badiaccia Montemuro,,,
"2942",hamlet,,,Case Poggio,,,
"2943",hamlet,,,Castello di Lamole,,,
"2944",hamlet,,,Il Piano,,,
"2945",hamlet,,,Lamole,,,
"2946",hamlet,,,La Villa,,,
"2947",hamlet,,,Le Masse,,,
"2948",hamlet,,Q18445817,Borgo Sant'Andrea,,,
"2949",hamlet,it:Villa San Martino (Lugo),Q4012515,Villa San Martino,,,
"2950",hamlet,,,Barceda,,,
"2951",hamlet,,,Castellaro-Chiesa,,,
"2952",hamlet,,,Cinghione,,,
"2953",hamlet,,Q18438400,La Guardata,,,
"2954",hamlet,,,La Piana,,,
"2955",hamlet,,,Pida,,,
"2956",hamlet,,Q18496172,Sant'Isidoro,,,
"2957",hamlet,,Q18495875,Madonna del Piano,,,
"2958",hamlet,,Q18496164,Sant'Apollonia,,,
"2959",hamlet,,,San Vincenzo,,,
"2960",hamlet,,,Acquarola,,,
"2961",hamlet,,Q18496013,Piagge,,,
"2962",hamlet,,,Bagnolo-Cantagallo,false,,
"2963",hamlet,,,Borgo di Sopra,,,
"2964",hamlet,,Q18486708,Casignano,,,
"2965",hamlet,,,Mulino di Sugana,,,
"2966",hamlet,,,San Michele a Torri,,,
"2967",hamlet,it:Sant'Andrea in Percussina,Q2509922,Sant'Andrea in Percussina,,,
"2968",hamlet,,,Borgaccio,,,
"2969",hamlet,,,Burchio,,,
"2970",hamlet,,,Capannuccia,,,
"2971",hamlet,it:Cellai,Q3664278,Cellai,,,
"2972",hamlet,,,Fornaci Incisa,,,
"2973",hamlet,,,La Chiocciola,,,
"2974",hamlet,,,La Felce,,,
"2975",hamlet,,,La Fonte,,,
"2976",hamlet,,,La Luna,,,
"2977",hamlet,,,La Presura,,,
"2978",hamlet,,,Le Valli,,,
"2979",hamlet,,,L'Ugolino,,,
"2980",hamlet,,Q18487194,Palazzolo,,,
"2981",hamlet,,,Rinforzati,,,
"2982",hamlet,,,Picille,,,
"2983",hamlet,,,San Bartolomeo a Quarate,,,
"2984",hamlet,,,San Polo in Chianti,,,
"2985",hamlet,,,San Michele,,,
"2986",hamlet,,,Santa Maria Maddalena,,,
"2987",hamlet,,,Santa Cristina,,,
"2988",hamlet,,,Vacciano,,,
"2989",hamlet,,,Acquabona,,,
"2990",hamlet,it:Castellaccio,Q3662227,Castellaccio,,,
"2991",hamlet,,,Chioma,,,
"2992",hamlet,,Q18488048,Collemezzano,,,
"2993",hamlet,,,Il Giardino,,,
"2994",hamlet,,,La Cinquantina,,,
"2995",hamlet,it:Limoncino (Livorno),Q3832518,Limoncino,,,
"2996",hamlet,,,Mazzanta,,,
"2997",hamlet,,,Pandoiano,,,
"2998",hamlet,,,Pacchione,,,
"2999",hamlet,,,Poggio Gagliardo,,,
"3000",hamlet,,,Polveroni,,,
"3001",hamlet,,,Terriccio,,,
"3002",hamlet,,,Fiumazzo,,,
"3003",hamlet,,,Taglio Corelli,,,
"3004",hamlet,,Q18483920,Acquaborra-Caselle,,,
"3005",hamlet,,,Batelli,,,
"3006",hamlet,,Q18484132,Bellavista,,,
"3007",hamlet,it:Caposelvi,Q1847491,Caposelvi,,,
"3008",hamlet,,Q18484460,Cappuccini,,,
"3009",hamlet,,,Case al Piano,,,
"3010",hamlet,,Q18484646,Case Mearino,,,
"3011",hamlet,,Q18484888,Cocoioni,,,
"3012",hamlet,,Q18484961,Crocefisso,,,
"3013",hamlet,,Q18485007,Duddova,,,
"3014",hamlet,,Q18485297,Gavignano,,,
"3015",hamlet,,Q18485354,Grimoli,,,
"3016",hamlet,,Q18485439,Il Prato,,,
"3017",hamlet,,,La Porta-Levane,,,
"3018",hamlet,,Q18485570,Le Mura,,,
"3019",hamlet,,Q18485611,Malafrasca-San Frustino,,,
"3020",hamlet,,Q18485658,Molino di Mezzo,,,
"3021",hamlet,,Q18485657,Molino di Bucine,,,
"3022",hamlet,it:Montegonzi,Q18485686,Montegonzi,,,
"3023",hamlet,,Q18485666,Montaio,,,
"3024",hamlet,,Q18485712,Noferi-Lavatoio,,,
"3025",hamlet,,Q18485703,Mulin di Dino,,,
"3026",hamlet,,Q18485760,Perelli,,,
"3027",hamlet,,Q18485734,Palazzetto II,,,
"3028",hamlet,,Q18485826,Poggio Cuccule,,,
"3029",hamlet,,Q18485819,Poggio alle Monache,,,
"3030",hamlet,it:Rendola,Q642155,Rendola,,,
"3031",hamlet,,Q18485832,Poggio San Marco,,,
"3032",hamlet,,,San Vincenti,,,
"3033",hamlet,,Q18485988,San Leolino,,,
"3034",hamlet,,Q18486184,Torre,,,
"3035",hamlet,,Q18486121,Solata,,,
"3036",hamlet,,Q18486275,Vepri,,,
"3037",hamlet,,Q18486255,Valle d'Inferno,,,
"3038",hamlet,it:Ventena (Montevarchi),Q18486274,Ventena,,,
"3039",hamlet,it:Adine,Q17620064,Adine,,,
"3040",hamlet,it:Barbischio,Q3634776,Barbischio,,,
"3041",hamlet,,,Bossi,,,
"3042",hamlet,,,Casanuova di Ama,,,
"3043",hamlet,it:Castagnoli,Q17992556,Castagnoli,,,
"3044",hamlet,,,Galenda,,,
"3045",hamlet,,,Il Colle,,,
"3046",hamlet,,,La Madonna,,,
"3047",hamlet,en:Lucignano in Chianti,Q18491748,Lucignano in Chianti,,,
"3048",hamlet,it:Montebenichi,Q3862192,Montebenichi,,,
"3049",hamlet,,,Pievasciata,,,
"3050",hamlet,,Q18491876,Poggio San Polo,,,
"3051",hamlet,,,Rietine,,,
"3052",hamlet,it:San Regolo (Gaiole in Chianti),Q17652109,San Regolo,,,
"3053",hamlet,en:San Martino al Vento,Q18491928,San Martino al Vento,,,
"3054",hamlet,,,Santa Chiara,,,
"3055",hamlet,en:San Sano,Q18491934,San Sano,,,
"3056",hamlet,,,Santa Margherita,,,
"3057",hamlet,it:Vertine,Q4010297,Vertine,,,
"3058",hamlet,,,Badia Coltibuono,,,
"3059",hamlet,,Q18484138,Bellosguardo,,,
"3060",hamlet,,,Castelvecchi,,,
"3061",hamlet,,Q18485308,Ghiandelli,,,
"3062",hamlet,,Q18485600,Macie,,,
"3063",hamlet,,Q112353631,Massa Sabbioni,,,
"3064",hamlet,,Q18485707,Nardi,,,
"3065",hamlet,,Q18485709,Neri,,,
"3066",hamlet,,Q18485782,Pian di Colle,,,
"3067",hamlet,,,San Pancrazio,,,
"3068",hamlet,,,Secciano,,,
"3069",hamlet,,,Selvole,,,
"3070",hamlet,,Q18486231,Vacchereccia Fattoria,,,
"3071",hamlet,,Q18486233,Vacchereccia,,,
"3072",hamlet,,Q18486321,Villini,,,
"3073",hamlet,,,La Villa,,,
"3074",hamlet,it:Volpaia,Q904918,Volpaia,,,
"3075",hamlet,,,Montecucco,,,
"3076",hamlet,it:La Mazzanta,Q3820977,Mazzanta,,,
"3077",hamlet,,,San Martino,,,
"3078",hamlet,,,Madonna del Bosco,,,
"3079",hamlet,,,Saiano,,,
"3080",hamlet,,,Cerreta,,,
"3081",hamlet,,,Scheggianico,,,
"3082",hamlet,,,Punta Ravenna,,,
"3083",hamlet,,,Maiano,,,
"3084",hamlet,,Q18445953,Ciribella,,,
"3085",hamlet,,,Frontale,,,
"3086",hamlet,,,Coldigioco,,,
"3087",hamlet,,,Località Fortuna,,,
"3088",hamlet,,,Castello,,,
"3089",hamlet,,,Borselli,,,
"3090",hamlet,,,Campiglioni,,,
"3091",hamlet,,,Colle,,,
"3092",hamlet,,,Eremo di Campiglioni,,,
"3093",hamlet,,,Ferrano,,,
"3094",hamlet,,,Gavignano,,,
"3095",hamlet,,,Grassina,,,
"3096",hamlet,,,Magnale,,,
"3097",hamlet,,,Pagiano,,,
"3098",hamlet,,,Podere Lucignano,,,
"3099",hamlet,,,Pogginano,,,
"3100",hamlet,,,Poggio Sano,,,
"3101",hamlet,,,Ràggioli,,,
"3102",hamlet,,,Ristonchi,,,
"3103",hamlet,,,Santa Lucia,,,
"3104",hamlet,,,Trescolli,,,
"3105",hamlet,,Q18491339,Filettole,,,
"3106",hamlet,,Q18441420,Paganine,,,
"3107",hamlet,,Q3677285,Cinque Vie,,,
"3108",hamlet,,,Bargni,,,
"3109",hamlet,,Q18445996,Fossolo,,,
"3110",hamlet,it:Lido di Dante,Q1823668,Lido di Dante,,,
"3111",hamlet,it:Lido di Savio,Q3832085,Lido di Savio,,,
"3112",hamlet,,,Campolo,,,
"3113",hamlet,,,Balugola,,,
"3114",hamlet,,,Sant’Eusebio,,,
"3115",hamlet,,,Favete,,,
"3116",hamlet,,,Tombe Nuove,,,
"3117",hamlet,,,Trentola,,,
"3118",hamlet,,,Granare,,,
"3119",hamlet,,,Le Celle,,,
"3120",hamlet,,,Corletto,,,
"3121",hamlet,,,Bassetti,,,
"3122",hamlet,,Q16668751,Pancole,,,
"3123",hamlet,,,Santa Maria a Sciano,,,
"3124",hamlet,,,Chiozza,,,
"3125",hamlet,,,Campori,,,
"3126",hamlet,it:Rocca Ricciarda,Q18485953,Rocca Ricciarda,,,
"3127",hamlet,,Q18485333,Gorgiti,,,
"3128",hamlet,,,Pieravilla,,,
"3129",hamlet,it:Modine,Q1942155,Modine,,,
"3130",hamlet,,Q18485830,Poggio di Loro,,,
"3131",hamlet,it:Montecoronaro,Q6905046,Montecoronaro,,,
"3132",hamlet,,,Valgianna,,,
"3133",hamlet,,,Cirone,,,
"3134",hamlet,,,Chiastre,,,
"3135",hamlet,,Q18495695,Castelletta,,,
"3136",hamlet,it:Schia,Q18443241,Schia,,,
"3137",hamlet,,,Mazzi,,,
"3138",hamlet,,,Riofreddo,,,
"3139",hamlet,,,Barbiano,,,
"3140",hamlet,,,Rio Secco,,,
"3141",hamlet,,,Molinaccio,,,
"3142",hamlet,"sh:Mirandola, Bologna",Q18438474,Mirandola,,,
"3143",hamlet,,,Palazzaccio,,,
"3144",hamlet,it:Teodorano,Q16268821,Teodorano,,,
"3145",hamlet,,,Montevecchio,,,
"3146",hamlet,,,Ruffio,,,
"3147",hamlet,it:Bagnarola (Cesenatico),Q18439834,Bagnarola,,,
"3148",hamlet,it:Macerone,Q3842076,Macerone,,,
"3149",hamlet,,,Osteria di Piavola,,,
"3150",hamlet,,,San Romano,,,
"3151",hamlet,,,Buttoli,,,
"3152",hamlet,,Q18491314,Campagnana,,,
"3153",hamlet,,,Casino,,,
"3154",hamlet,,Q18486822,Cirignano,,,
"3155",hamlet,,,Colle Bisenzio,,,
"3156",hamlet,,Q18491336,Costozze,,,
"3157",hamlet,,,La Cantoniera,,,
"3158",hamlet,,Q18491351,La Dogana,,,
"3159",hamlet,,Q18491357,La Villa,,,
"3160",hamlet,,,Le Maschere,,,
"3161",hamlet,,Q18491362,Luciana,,,
"3162",hamlet,,Q18491364,Luicciana,,,
"3163",hamlet,it:Mangona,Q3844571,Mangona,,,
"3164",hamlet,,,Ruzza,,,
"3165",hamlet,,,Montecarelli,,,
"3166",hamlet,,,Santo Stefano,,,
"3167",hamlet,,,Santa Lucia,,,
"3168",hamlet,it:Pietra dell'Uso,Q3410090,Pietra dell Uso,,,
"3169",hamlet,,,Montetiffi,,,
"3170",hamlet,,,Borgostecchi,,,
"3171",hamlet,,,Cella,,,
"3172",hamlet,,,Bivio Montegelli,,,
"3173",hamlet,it:Rontagnano,Q3941153,Rontagnano,,,
"3174",hamlet,,,Barbotto,,,
"3175",hamlet,,,Montegelli,,,
"3176",hamlet,,,Santa Maria Riopetra,,,
"3177",hamlet,,,Strigara,,,
"3178",hamlet,,,San Martino in Converseto,,,
"3179",hamlet,,,Tribola,,,
"3180",hamlet,,,Montalbano,,,
"3181",hamlet,,,Barco,,,
"3182",hamlet,,,Cà di Fabbiani,,,
"3183",hamlet,,,Capanelle,,,
